Key,Description,Standard,CN
SAY.Flowchart.392.Bear,,Mooncakes?,月饼？
SAY.Flowchart.393.You,,Instant noodle with an egg.,不是啊，是方便面加蛋！
SAY.Flowchart.398.Bear,,Gahahaha! You need to see what we had last night.,哈哈哈哈！你看看我昨晚吃的什么。
SAY.Flowchart.401.Bear,,I'll show you the pictures.,我微信发给你。
SAY.Flowchart.395.Bear,,Gahahaha! Of course.,啊啊啊啊当然啊。
SAY.Flowchart.396.Bear,,We had a big dinner last night.,我们昨晚吃的大餐。
SAY.Flowchart.397.Bear,,Let me show you the pictures.,你看照片哈。
SAY.Flowchart.415.You,,"Gaaahh! Watch out, it's late night here",别啊啊啊啊啊啊我这大半夜的我好饿
SAY.Flowchart.432.You,,Your food pictures make me feel hungry.,你发的东西让我好馋啊。
SAY.Flowchart.433.You,,Let me show you my dinner today.,给你看看我今天的晚饭。
SAY.Flowchart.418.Bear,,Poor girl···,太惨了……
SAY.Flowchart.419.Bear,,"Don't worry, I'll eat all the delicious food for you.",没关系，我来替你吃好吃的。
SAY.Flowchart.420.Bear,,And send you the pictures.,然后把照片发给你。
SAY.Flowchart.421.You,,Wait···,等等……
SAY.Flowchart.422.You,,"Ok, If you insist. I can at least look at delicious food behind screen. ",好吧，没事，你想发就发吧。怎么说有得看总比看也没得看强。
SAY.Flowchart.423.Bear,,"Be careful not to eat too much junk food, or you will gain weight quickly like I did last year.",当心不要一直吃垃圾食品，不然你等着长胖吧。
SAY.Flowchart.424.Bear,,"Gahahah! Oh wait, lunch is ready, I have to go.",你外婆叫我吃中饭了！我溜了。
SAY.Flowchart.426.You,,"Well, that's not so hard.",也不是很难聊嘛。
SAY.Flowchart.428.You,,"Mom always says, ",我妈一直说，
SAY.Flowchart.429.You,,sisters is a person always there for each other to rely on.,兄弟姐妹是可以一直依靠的，
SAY.Flowchart.430.You,,I guess she is right,我觉得吧，她说的某种程度来说是对的，
SAY.Flowchart.431.You,,except for that food-picture part.,就是有一点不大对，
SAY.Flowchart.438.,,/*You got a message from Big Bear: */,/*收到一条来自大熊的新消息：*/
SAY.Flowchart.436.You,,No! Stop that!!,别发了！姐！
SETTEXT.Flowchart.454,, ,
SETTEXT.Flowchart.455,, ,
SAY.Flowchart.558.You,,"Sure, yes please.",当然了。
SAY.Flowchart.555.You,,···,……
SAY.Flowchart.559.You,,It's sweet.,哇，还挺甜的。
SAY.Flowchart.560.Sakura,,Yeah. Tasty.,对啊，就很好吃。
SAY.Flowchart.556.You,,Thanks but I've brushed my teeth,谢谢，我已经刷过牙，就不吃了
SAY.Flowchart.561.Sakura,,"Ok. I'll leave these on the table. If you want to eat, you can take one.",好吧，我就放桌上，你想吃可以自己拿。
SAY.Flowchart.567.Sakura,,"Wait, did you hear that? ",等等，刚才的你听到了吗？
SAY.Flowchart.842.Sakura,,Coming from outside. I think this has something to do with that robbery.,外面的声音。我感觉他们可能是来抓那个抢劫犯的吧。
SAY.Flowchart.568.You,,Yeah. Tonight is a total mess.,是吧，今天真的好混乱啊。
SAY.Flowchart.569.Sakura,,I think I'm getting used to these kind of things though.,哪天不混乱啊？我已经开始习惯了。
SAY.Flowchart.843.Sakura,,HAHA. We are gradually becoming New York citizens in some aspect.,这么说来我已经习惯当纽约人了！哈哈哈！
SAY.Flowchart.631.You,,"Oh sure, I cooked beef stew. It's delicious.",啊当然啦。我炖了牛肉，还挺香的。
SAY.Flowchart.639.Mom,,Great! Do you have a picture of it?,不错。有照片吗？
SAY.Flowchart.635.You,,Not really···I was so hungry.,没有……我太饿了，没来得及拍。
SAY.Flowchart.641.You,,"Oh wait, I do have when it's still in the pot.",等等，我有在锅里的照片。
SAY.Flowchart.643.Mom,,Looks Great! You may add some vegetables.,不错。应该加点蔬菜。
SAY.Flowchart.640.Dad,,"Right, add some green food.",对。加点绿叶菜。
SAY.Flowchart.636.You,,I'll next time.,好，下次加。
SAY.Flowchart.634.Mom,,Did you share it with your roommate?,和室友分享了吗？
SAY.Flowchart.632.Mom,,Instant noodle again?,又吃方便面？
SAY.Flowchart.633.You,,Easiest and fastest to cook.,方便啊。
SAY.Flowchart.642.Mom,,Are you and your roommate together?,你和室友在一起吃的吗？
SAY.Flowchart.647.You,,Not really. She's out to have a party tonight.,也没有啦。她出去参加聚会了。
SAY.Flowchart.648.Mom,,Why don't you go together? Didn't she asked you?,你怎么不一起去，她没邀请你？
SAY.Flowchart.649.You,,"Yes she did, but I said I don't want to.",邀请了，是我自己不想去。
SAY.Flowchart.652.Mom,,Don't be so dissocial.,好吧，你不要太孤僻了。
SAY.Flowchart.651.You,,"Ok, I won't.",不会的。
SAY.Flowchart.655.You,,How's grandma?,奶奶在干啥？
SAY.Flowchart.656.Mom,,She's in the garden collecting eggs.,她在地里收鸡蛋。
SAY.Flowchart.657.Dad,,Most of our chicken got killed today to prepare food for the holiday.,今天鸡都被杀了做菜了。
SAY.Flowchart.658.Dad,,Today is the END of chicken.,鸡的末日啊。
SAY.Flowchart.654.Mom,,"It's Saturday tomorrow, you can celebrate the festival together.",明天是周六，你们可以一起庆祝。
SAY.Flowchart.653.You,,"Sure, I'll talk to her about it.",好，我会跟她讲。
SAY.Flowchart.650.Mom,,"Go to sleep then, it's late.",去休息吧，很晚了。
SAY.Flowchart.659.You,,"Goodnight mom, goodnight dad.",好，晚安爸妈。
SAY.Flowchart.660.Mom,,Goodnight.,晚安。
SAY.Flowchart.661.Dad,,Goodnight.,晚安。
SAY.Flowchart.693.You,,don't know why but I had dinner with Q,不知道为什么不过我和小W一起吃饭了
SAY.Flowchart.694.D.J.,,Congrats!,祝贺！
SAY.Flowchart.696.You,,I feel like a fish in his fishing pool,先别急，我感觉自己像他鱼塘里的一条鱼。
SAY.Flowchart.703.D.J.,,What do you mean?,什么意思？
SAY.Flowchart.698.D.J.,,"It's ok, you are just being friendly towards each other.",没事的，你们只是在友好相处。
SAY.Flowchart.699.D.J.,,"Afterall, You don't have to decide right away.",又不是让你现在就交往。
SAY.Flowchart.697.You,,You're right. I should treat this thing normally,你说得对。我应该平常心。
SAY.Flowchart.715.You,,don't know why but I had dinner with Q,不知道为什么不过我和小W一起吃饭了
SAY.Flowchart.758.Liu Yifei,,What?! ,啥？！
SAY.Flowchart.759.Liu Yifei,,I'm starting to feel envious of you,我又开始嫉妒你了
SAY.Flowchart.760.Liu Yifei,,"I mean, I'm alone, but you have a friend to spend time with",连你都有朋友了，我怎么还是孤独一人
SAY.Flowchart.761.Liu Yifei,,Are you showing off? You must be!,你在炫耀吗？？你肯定是
SAY.Flowchart.762.You,,"No, I mean I can't believe this would happen",没有……我是想不到会发生这种展开
SAY.Flowchart.769.You,,What if he knows everything and is only playing with my feelings?,万一他啥都知道，只是想逗我好玩怎么办？
SAY.Flowchart.770.Liu Yifei,,Yeah definitely he is a bad boy. So bad.,嗯，你说得对，我觉得他就是渣男。太坏了。
SAY.Flowchart.771.You,,Why are you so sure?,怎么就是渣男了？
SAY.Flowchart.772.Liu Yifei,,Cuz it's what you want to hear,因为你想听到这句话。
SAY.Flowchart.773.Liu Yifei,,"Anyway, you are definitely in LOVE",哈哈哈哈哈哈哈好吧，不过我觉得你就是喜欢他。
SAY.Flowchart.774.Liu Yifei,,Be careful don't get hurt HHHHHH,当心不要受伤哈哈哈哈哈哈
SAY.Flowchart.775.You,,Shut,闭
SAY.Flowchart.776.You,,Up,嘴
MENU.Flowchart.705,,send message to DJ,给DJ发信息
MENU.Flowchart.706,,send message to Liu Yifei,给刘亦菲发信息
SAY.Flowchart.719.You,,But he's so cute...,但他真的好可爱啊……
SAY.Flowchart.832.You,,Hope we can get closer.,好想能多点机会接触。
CHARACTER.Aunt,,Aunt,舅妈
CHARACTER.Liu Yifei,,Liu Yifei,刘亦菲
CHARACTER.Mom,,Mom,妈
CHARACTER.Wen,,Wen,温
CHARACTER.You,,You,你
CHARACTER.Character Name,,Character Name,姓名
CHARACTER.D.J.,,D.J.,D.J.
CHARACTER.Sakura,,Sakura,Sakura
CHARACTER.Dad,,Dad,爸
CHARACTER.Yuyan,,Yuyan,语嫣
CHARACTER.Bear,,Bear,大熊
CHARACTER.*voice*,,*voice*,*谜样的声音*
